AERONET_Database_Site_List,Num=2,Date_Generated=24:09:2024
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Banizoumbou,2.66519,13.54693,274
Mongu,23.150833,-15.253611,1047
Kanpur,80.231639,26.512778,123
Beijing,116.38137,39.97689,92
Ilorin,4.6745,8.4841,400
Solar_Village,46.397286,24.906933,764
Alta_Floresta,-56.104453,-9.871339,277
Ji_Parana_SE,-61.85152,-10.93425,218
Cuiaba,-56.070214,-15.555244,234
Mexico_City,-99.181667,19.333611,2268
CART_SITE,-97.48639,36.60667,318
GSFC,-76.839833,38.9925,87
Lille,3.141667,50.611667,60
Ispra,8.6267,45.80305,235
Thessaloniki,22.96,40.63,60
Moldova,28.8156,47.0008,205
Tomsk,85.04806,56.475351,174
Lake_Argyle,128.7485,-16.1081,150
Paris,2.355508,48.846797,50
Chiang_Mai,98.986944,18.813333,324
Cabauw,4.927,51.971,-0.7
Granada,-3.605,37.164,680
SANTA_CRUZ_UTEPSA,-63.200961,-17.767325,432
Ames,-93.774778,42.021361,338
Saada,-8.15583,31.62583,420
Belsk,20.791667,51.836667,190
Kyiv,30.496667,50.363611,200
UCSB,-119.84536,34.415428,33
Dushanbe,68.857911,38.553264,821
Karlsruhe,8.4279,49.0933,140
Amazon_ATTO_Tower,-58.999867,-2.144117,210.000000
Rio_Branco,-67.869350,-9.957467,212.000000
Mongu_Inn,23.134333,-15.266667,1040.000000
CUIABA-MIRANDA,-56.070860,-15.730910,210.000000
Sakeji_School,24.312000,-11.232956,1406.000000
Gandhi_College,84.127944,25.871000,60.000000
Kanpur,80.231639,26.512778,123.000000
IITM_ARTCI_Bhopal,77.244293,23.572259,464.000000
MCO-Hanimaadhoo,73.183183,6.776350,13.000000
AAU_Jackros_ET,38.820833,9.011667,2370.000000
Tudor_Hill,-64.879000,32.264000,51.000000
ATTO-Campina,-59.021861,-2.181583,30.000000
Selegua_BSRN,-91.990210,15.783889,610.000000
Toulouse_MF,1.374320,43.572610,160.000000
Missoula,-114.083336,46.916668,976.000000
Stony_Plain,-114.108588,53.547813,765.000000
St_Helena,-5.667300,-15.942400,434.000000
Ascension_Island,-14.414722,-7.976389,30.000000
