AERONET_Database_Site_List,Num=2,Date_Generated=24:09:2024
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Lake_Argyle,128.748500,-16.108100,150
Beijing,116.381370,39.976890,92
Chiang_Mai,98.986944,18.813333,324
Tomsk,85.048060,56.475351,174
Gandhi_College,84.127944,25.871000,60.000000
Kanpur,80.231639,26.512778,123.000000
Kanpur,80.231639,26.512778,123
IITM_ARTCI_Bhopal,77.244293,23.572259,464.000000
MCO-Hanimaadhoo,73.183183,6.776350,13.000000
Dushanbe,68.857911,38.553264,821
Solar_Village,46.397286,24.906933,764
AAU_Jackros_ET,38.820833,9.011667,2370.000000
Kyiv,30.496667,50.363611,200
Moldova,28.815600,47.000800,205
Sakeji_School,24.312000,-11.232956,1406.000000
Mongu,23.150833,-15.253611,1047
Mongu_Inn,23.134333,-15.266667,1040.000000
Thessaloniki,22.960000,40.630000,60
Belsk,20.791667,51.836667,190
Ispra,8.626700,45.803050,235
Karlsruhe,8.427900,49.093300,140
Cabauw,4.927000,51.971000,-0.7
Ilorin,4.674500,8.484100,400
Lille,3.141667,50.611667,60
Banizoumbou,2.665190,13.546930,274
Paris,2.355508,48.846797,50
Toulouse_MF,1.374320,43.572610,160.000000
Granada,-3.605000,37.164000,680
St_Helena,-5.667300,-15.942400,434.000000
Saada,-8.155830,31.625830,420
Ascension_Island,-14.414722,-7.976389,30.000000
Cuiaba,-56.070214,-15.555244,234
CUIABA-MIRANDA,-56.070860,-15.730910,210.000000
Alta_Floresta,-56.104453,-9.871339,277
Amazon_ATTO_Tower,-58.999867,-2.144117,210.000000
ATTO-Campina,-59.021861,-2.181583,30.000000
Ji_Parana_SE,-61.851520,-10.934250,218
SANTA_CRUZ_UTEPSA,-63.200961,-17.767325,432
Tudor_Hill,-64.879000,32.264000,51.000000
Rio_Branco,-67.869350,-9.957467,212.000000
GSFC,-76.839833,38.992500,87
Selegua_BSRN,-91.990210,15.783889,610.000000
Ames,-93.774778,42.021361,338
CART_SITE,-97.486390,36.606670,318
Mexico_City,-99.181667,19.333611,2268
Missoula,-114.083336,46.916668,976.000000
Stony_Plain,-114.108588,53.547813,765.000000
UCSB,-119.845360,34.415428,33
